,Unnamed: 0.1,Unnamed: 0,clueGiverID,wordpair,Level,clueFinal,variable,Clue1,correctedClue,Word1,Word2,corrected,union_2,intersection_2,union_4,intersection_4,union_8,intersection_8,union_16,intersection_16,union_32,intersection_32,union_64,intersection_64,union_128,intersection_128,union_256,intersection_256,union_512,intersection_512
0,5,5,455383,ankle-travel,Hard,runner,clueOption1,run,run,ankle,travel,['no'],0.00025038669610173264,8.184645604846101e-05,0.0017822666700507649,4.500855162480114e-05,0.0015008004647613048,5.487932037450457e-06,0.0011277646895906908,7.860288095276832e-07,0.0011475992416126425,0.0036416981263326046,0.0011058780484357947,0.0027332545622477293,0.0010366176183726386,0.0014869603707789603,0.0008939987371930602,0.0017426664247892822,0.0008305183918606003,0.0019094103938191453
1,35,35,455606,ankle-travel,Hard,feet,clueOption1,feet,feet,ankle,travel,['no'],0.0020029183156519063,8.184645604846101e-05,0.003691824462549495,4.500855162480114e-05,0.0026100829418349777,5.487932037450457e-06,0.0016253064716401661,7.860288095276832e-07,0.0011644756762298361,0.0018209401010675658,0.0008726070798368134,0.001822184892659646,0.0007359537639805115,0.0012391357075213275,0.0006836461493916417,0.001001107821812147,0.0006129385284306449,0.000855515730928489
2,65,65,455664,ankle-travel,Hard,plane,clueOption1,injury,injury,ankle,travel,['no'],2.503616599357391e-08,8.184645604846101e-05,0.001400355111551019,4.500855162480114e-05,0.0007830294501842223,5.487932037450457e-06,0.0005307145511313205,7.860288095276832e-07,0.0003544068146045322,1.8207580252650395e-07,0.00031102882209852535,4.555348347940417e-08,0.00024232654035164625,1.2391233162881646e-08,0.00021752393778622575,7.415956809072837e-05,0.0002693215489894348,6.199504357552435e-05
3,95,95,457037,ankle-travel,Hard,basketball,clueOption1,basketball,basketball,ankle,travel,['no'],0.0007511100159732107,8.184645604846101e-05,0.00038192428888502935,4.500855162480114e-05,0.0002610141668554352,5.487932037450457e-06,0.0003980367425847938,7.860288095276832e-07,0.00033753037998733836,1.8207580252650395e-07,0.0003283081531058573,4.555348347940417e-08,0.0003455395052922272,1.2391233162881646e-08,0.0002964061582117577,0.00014831542838844187,0.0002971823851603437,0.00016118512949464493
4,125,125,457425,ankle-travel,Hard,foot,clueOption1,foot,foot,ankle,travel,['no'],0.0468176554441492,8.184645604846101e-05,0.027879556500866747,4.500855162480114e-05,0.014812190189645379,0.054884808306542014,0.0077616551169170265,0.007861074124086358,0.004033469561152788,0.005462456151597644,0.0022376742294160363,0.004555393901423896,0.0013327939525499574,0.0019826096972942265,0.0009513676247752653,0.0011123416122587172,0.0006660067878038047,0.0009051107738880493
5,155,155,457520,ankle-travel,Hard,move,clueOption1,walk,walk,ankle,travel,['no'],0.0007511100159732107,8.184645604846101e-05,0.002928001345550003,4.500855162480114e-05,0.001892311927257895,5.487932037450457e-06,0.0012936119502738493,0.007861074124086358,0.000995711330057898,0.0018209401010675658,0.0007948500903038197,0.0013666500578656043,0.0007583913650545508,0.0006195740493772451,0.0007362342963419964,0.0010381857519610037,0.0006275322997582639,0.0009795033383273898
6,185,185,457564,ankle-travel,Hard,walking,clueOption1,walking,walking,ankle,travel,['no'],0.0012518333358446888,8.184645604846101e-05,0.0012730512587177702,4.500855162480114e-05,0.0008482813606003208,5.487932037450457e-06,0.0005307145511313205,7.860288095276832e-07,0.0004050361184561137,1.8207580252650395e-07,0.0003283081531058573,4.555348347940417e-08,0.00027822670207010915,1.2391233162881646e-08,0.0002748928253684308,3.708163794187163e-05,0.0002693215489894348,0.0001363876080148648
7,215,215,458120,ankle-travel,Hard,hike,clueOption1,boot,boot,ankle,travel,['no'],2.503616599357391e-08,8.184645604846101e-05,0.0007638358473847754,4.500855162480114e-05,0.00045676989810373037,5.487932037450457e-06,0.0002321894819016354,7.860288095276832e-07,0.0001518895991982062,1.8207580252650395e-07,0.00012095618101787395,4.555348347940417e-08,8.077581261856307e-05,1.2391233162881646e-08,6.454023756701227e-05,3.707793014885675e-09,6.898886985575627e-05,1.2398760739890073e-09
8,245,245,458387,ankle-travel,Hard,walking,clueOption1,walking,walking,ankle,travel,['no'],0.0012518333358446888,8.184645604846101e-05,0.0012730512587177702,4.500855162480114e-05,0.0008482813606003208,5.487932037450457e-06,0.0005307145511313205,7.860288095276832e-07,0.0004050361184561137,1.8207580252650395e-07,0.0003283081531058573,4.555348347940417e-08,0.00027822670207010915,1.2391233162881646e-08,0.0002748928253684308,3.708163794187163e-05,0.0002693215489894348,0.0001363876080148648
9,275,275,463818,ankle-travel,Hard,vacation,clueOption1,sprain,sprain,ankle,travel,['no'],0.01727497957173199,8.184645604846101e-05,0.00903858628154594,4.500855162480114e-05,0.004698144075150126,5.487932037450457e-06,0.0023882038707826944,7.860288095276832e-07,0.0012151049800814178,1.8207580252650395e-07,0.0006220567802305003,4.555348347940417e-08,0.0003231019042181878,1.2391233162881646e-08,0.00017688764241549718,3.707793014885675e-09,9.95031189953232e-05,1.2398760739890073e-09
